Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 03/13  23:00:00,80131530.28038286,80131530.28038286 
 03/13  24:00:00,65597949.44438682,65597949.44438682 
 03/14  01:00:00,65407915.1537362,65407915.1537362 
 03/14  02:00:00,65407915.1537362,65407915.1537362 
 03/14  03:00:00,65407915.1537362,65407915.1537362 
 03/14  04:00:00,65407915.1537362,65407915.1537362 
 03/14  05:00:00,65407915.1537362,65407915.1537362 
 03/14  06:00:00,121782952.53495848,121782952.53495848 
 03/14  07:00:00,229627734.2918619,229627734.2918619 
 03/14  08:00:00,270117539.08965904,270117539.0896591 
 03/14  09:00:00,242310389.669597,242310389.66959706 
 03/14  10:00:00,249251872.1338356,249251872.1338356 
 03/14  11:00:00,264441416.5122188,264441416.5122188 
 03/14  12:00:00,263245265.87496987,263245265.87496993 
 03/14  13:00:00,273996692.31526613,273996692.31526613 
 03/14  14:00:00,269949889.5389266,269949889.53892666 
 03/14  15:00:00,272582158.14077985,272582158.1407799 
 03/14  16:00:00,278880523.18807185,278880523.18807185 
 03/14  17:00:00,191596296.2841668,191596296.28416675 
 03/14  18:00:00,130810430.77672815,130810430.77672815 
 03/14  19:00:00,138122174.42177707,138122174.4217771 
 03/14  20:00:00,125254247.78541107,125254247.78541109 
 03/14  21:00:00,123398358.45075694,123398358.45075694 
 03/14  22:00:00,85134722.37354441,85134722.37354442 
 03/14  23:00:00,80131530.28038286,80131530.28038286 
 03/14  24:00:00,65597949.44438682,65597949.44438682 
 03/15  01:00:00,65407915.1537362,65407915.1537362 
 03/15  02:00:00,65407915.1537362,65407915.1537362 
 03/15  03:00:00,65407915.1537362,65407915.1537362 
 03/15  04:00:00,65407915.1537362,65407915.1537362 
 03/15  05:00:00,65407915.1537362,65407915.1537362 
 03/15  06:00:00,108938327.98988363,108938327.98988363 
 03/15  07:00:00,192774028.84550712,192774028.84550714 
 03/15  08:00:00,262517676.02904,262517676.02904004 
 03/15  09:00:00,245387761.9325283,245387761.93252832 
 03/15  10:00:00,257409323.9783414,257409323.97834143 
 03/15  11:00:00,274047934.7540252,274047934.7540252 
 03/15  12:00:00,271771569.4387765,271771569.4387765 
 03/15  13:00:00,286553934.3563495,286553934.3563495 
 03/15  14:00:00,283134060.96967155,283134060.96967155 
 03/15  15:00:00,288144215.1639582,288144215.1639582 
 03/15  16:00:00,294144343.8334472,294144343.8334472 
 03/15  17:00:00,201707194.53494024,201707194.5349403 
 03/15  18:00:00,139477267.83788028,139477267.83788028 
 03/15  19:00:00,146087035.74467373,146087035.74467373 
 03/15  20:00:00,131027680.7157302,131027680.71573022 
 03/15  21:00:00,129905651.42150153,129905651.42150153 
 03/15  22:00:00,85134722.37354441,85134722.37354442 
 03/15  23:00:00,80131530.28038286,80131530.28038286 
 03/15  24:00:00,65597949.44438682,65597949.44438682 
 03/16  01:00:00,65407915.1537362,65407915.1537362 
 03/16  02:00:00,65407915.1537362,65407915.1537362 
 03/16  03:00:00,65407915.1537362,65407915.1537362 
 03/16  04:00:00,65407915.1537362,65407915.1537362 
 03/16  05:00:00,65407915.1537362,65407915.1537362 
 03/16  06:00:00,115953687.74214111,115953687.74214111 
 03/16  07:00:00,174610602.40139496,174610602.40139496 
 03/16  08:00:00,271079551.64020306,271079551.64020306 
 03/16  09:00:00,255742491.38792342,255742491.38792348 
 03/16  10:00:00,257575923.52731788,257575923.52731788 
 03/16  11:00:00,272105860.8724278,272105860.8724278 
 03/16  12:00:00,271334984.3398266,271334984.33982664 
 03/16  13:00:00,289731246.2467577,289731246.2467577 
 03/16  14:00:00,290541967.35490024,290541967.35490024 
 03/16  15:00:00,295961815.06292474,295961815.0629248 
 03/16  16:00:00,300958595.86638254,300958595.86638254 
 03/16  17:00:00,202478683.9154698,202478683.91546983 
 03/16  18:00:00,138797228.75454807,138797228.75454807 
 03/16  19:00:00,146502590.46803567,146502590.46803567 
 03/16  20:00:00,132753554.70515986,132753554.70515986 
 03/16  21:00:00,129396118.34387915,129396118.34387915 
 03/16  22:00:00,85134722.37354441,85134722.37354442 
 03/16  23:00:00,80131530.28038286,80131530.28038286 
 03/16  24:00:00,65597949.44438682,65597949.44438682 
 03/17  01:00:00,65407915.1537362,65407915.1537362 
 03/17  02:00:00,65407915.1537362,65407915.1537362 
 03/17  03:00:00,65407915.1537362,65407915.1537362 
 03/17  04:00:00,65407915.1537362,65407915.1537362 
 03/17  05:00:00,65407915.1537362,65407915.1537362 
 03/17  06:00:00,122347036.93620427,122347036.93620428 
 03/17  07:00:00,171952025.6990487,171952025.6990487 
 03/17  08:00:00,277204180.58579314,277204180.5857932 
 03/17  09:00:00,259922981.68861145,259922981.68861145 
 03/17  10:00:00,259212005.13455722,259212005.13455728 
 03/17  11:00:00,271783948.11699903,271783948.11699903 
 03/17  12:00:00,268536969.0790568,268536969.0790568 
 03/17  13:00:00,286344954.0809051,286344954.0809052 
 03/17  14:00:00,286715356.1641384,286715356.1641384 
 03/17  15:00:00,295030361.3643367,295030361.36433667 
 03/17  16:00:00,303920998.9083767,303920998.90837663 
 03/17  17:00:00,202848097.27819088,202848097.2781909 
 03/17  18:00:00,134944113.57539973,134944113.57539973 
 03/17  19:00:00,140014902.97612014,140014902.97612014 
 03/17  20:00:00,126630245.6433182,126630245.64331818 
 03/17  21:00:00,125391218.9677273,125391218.9677273 
 03/17  22:00:00,85134722.37354441,85134722.37354442 
 03/17  23:00:00,80131530.28038286,80131530.28038286 
 03/17  24:00:00,54347289.79607374,54347289.79607374 
 03/18  01:00:00,54157290.74955592,54157290.74955592 
 03/18  02:00:00,54157290.74955592,54157290.74955592 
 03/18  03:00:00,54157290.74955592,54157290.74955592 
 03/18  04:00:00,54157290.74955592,54157290.74955592 
 03/18  05:00:00,54157290.74955592,54157290.74955592 
 03/18  06:00:00,121299537.48012735,121299537.48012735 
 03/18  07:00:00,108922804.06579816,108922804.06579816 
 03/18  08:00:00,130214535.87585202,130214535.87585205 
 03/18  09:00:00,135960372.5573579,135960372.5573579 
 03/18  10:00:00,138813705.33098125,138813705.33098125 
 03/18  11:00:00,151688044.28845316,151688044.28845313 
 03/18  12:00:00,126182942.21044679,126182942.21044679 
 03/18  13:00:00,123642756.03537367,123642756.03537369 
 03/18  14:00:00,122581907.59691554,122581907.59691554 
 03/18  15:00:00,124920378.84250526,124920378.84250526 
 03/18  16:00:00,125481493.18276897,125481493.18276897 
 03/18  17:00:00,103867269.77303384,103867269.77303384 
 03/18  18:00:00,57190970.16956078,57190970.169560775 
 03/18  19:00:00,57110793.79607374,57110793.79607375 
 03/18  20:00:00,56920794.74955592,56920794.74955593 
 03/18  21:00:00,56920794.74955592,56920794.74955593 
 03/18  22:00:00,56920794.74955592,56920794.74955593 
 03/18  23:00:00,56920794.74955592,56920794.74955593 
 03/18  24:00:00,54157290.74955592,54157290.74955592 
 03/19  01:00:00,54157290.74955592,54157290.74955592 
 03/19  02:00:00,54157290.74955592,54157290.74955592 
 03/19  03:00:00,54157290.74955592,54157290.74955592 
 03/19  04:00:00,54157290.74955592,54157290.74955592 
 03/19  05:00:00,54157290.74955592,54157290.74955592 
 03/19  06:00:00,74447615.50655627,74447615.50655627 
 03/19  07:00:00,53845417.58794549,53845417.58794549 
 03/19  08:00:00,53107204.25568547,53107204.25568547 
 03/19  09:00:00,53100571.45300382,53100571.45300382 
 03/19  10:00:00,53100571.45300382,53100571.45300382 
 03/19  11:00:00,53100571.45300382,53100571.45300382 
 03/19  12:00:00,66520748.116895184,66520748.116895184 
 03/19  13:00:00,91596734.45495376,91596734.45495376 
 03/19  14:00:00,97439187.53455009,97439187.53455009 
 03/19  15:00:00,82807257.30378988,82807257.30378988 
 03/19  16:00:00,61636273.33318796,61636273.33318796 
 03/19  17:00:00,53106647.526958905,53106647.526958905 
 03/19  18:00:00,48345900.25029767,48345900.25029767 
 03/19  19:00:00,56920794.74955592,56920794.74955593 
 03/19  20:00:00,56920794.74955592,56920794.74955593 
 03/19  21:00:00,56920794.74955592,56920794.74955593 
 03/19  22:00:00,56920794.74955592,56920794.74955593 
 03/19  23:00:00,56920794.74955592,56920794.74955593 
 03/19  24:00:00,65407915.1537362,65407915.1537362 
 03/20  01:00:00,65407915.1537362,65407915.1537362 
 03/20  02:00:00,65407915.1537362,65407915.1537362 
 03/20  03:00:00,65407915.1537362,65407915.1537362 
 03/20  04:00:00,65407915.1537362,65407915.1537362 
 03/20  05:00:00,65407915.1537362,65407915.1537362 
 03/20  06:00:00,119564763.54786646,119564763.54786648 
 03/20  07:00:00,171516632.96244487,171516632.9624449 
 03/20  08:00:00,274971568.7034126,274971568.70341265 
 03/20  09:00:00,261587782.957779,261587782.957779 
 03/20  10:00:00,264200709.00464422,264200709.0046442 
 03/20  11:00:00,280858362.69399446,280858362.6939945 
 03/20  12:00:00,282219962.01839006,282219962.01839006 
 03/20  13:00:00,305303506.92372787,305303506.9237279 
 03/20  14:00:00,304666189.4725574,304666189.4725574 
 03/20  15:00:00,311318153.8454848,311318153.8454848 
 03/20  16:00:00,321693382.9856088,321693382.9856088 
 03/20  17:00:00,215869455.94691798,215869455.94691798 
 03/20  18:00:00,152032976.2220363,152032976.2220363 
 03/20  19:00:00,153197633.12487945,153197633.12487942 
 03/20  20:00:00,135288518.17108205,135288518.17108205 
 03/20  21:00:00,129266706.58274648,129266706.5827465 
 03/20  22:00:00,85134722.37354441,85134722.37354442 
 03/20  23:00:00,80131530.28038286,80131530.28038286 
 03/20  24:00:00,65597949.44438682,65597949.44438682 
 03/21  01:00:00,65407915.1537362,65407915.1537362 
 03/21  02:00:00,65407915.1537362,65407915.1537362 
 03/21  03:00:00,65407915.1537362,65407915.1537362 
 03/21  04:00:00,65407915.1537362,65407915.1537362 
 03/21  05:00:00,65407915.1537362,65407915.1537362 
 03/21  06:00:00,120990537.948562,120990537.94856198 
 03/21  07:00:00,170149298.98909205,170149298.98909205 
 03/21  08:00:00,277604571.648816,277604571.64881605 
 03/21  09:00:00,260694638.2847227,260694638.28472275 
 03/21  10:00:00,260455609.8685413,260455609.8685414 
 03/21  11:00:00,273278185.64959604,273278185.64959604 
 03/21  12:00:00,275967829.7313083,275967829.7313082 
 03/21  13:00:00,299149216.6756894,299149216.67568946 
 03/21  14:00:00,299262302.0265063,299262302.0265063 
 03/21  15:00:00,302079531.36161387,302079531.36161387 
 03/21  16:00:00,304707260.17404133,304707260.1740414 
 03/21  17:00:00,203168968.5759746,203168968.5759746 
 03/21  18:00:00,133761315.94751123,133761315.94751123 
 03/21  19:00:00,141152262.2336673,141152262.23366734 
 03/21  20:00:00,127780325.75488493,127780325.75488493 
 03/21  21:00:00,127395369.09587805,127395369.09587805 
 03/21  22:00:00,85134722.37354441,85134722.37354442 
 03/21  23:00:00,80131530.28038286,80131530.28038286 
 03/21  24:00:00,65597949.44438682,65597949.44438682 
 03/22  01:00:00,65407915.1537362,65407915.1537362 
 03/22  02:00:00,65407915.1537362,65407915.1537362 
 03/22  03:00:00,65407915.1537362,65407915.1537362 
 03/22  04:00:00,65407915.1537362,65407915.1537362 
 03/22  05:00:00,65407915.1537362,65407915.1537362 
 03/22  06:00:00,116986236.76313171,116986236.76313171 
 03/22  07:00:00,171640754.13842338,171640754.13842338 
 03/22  08:00:00,278817732.82298756,278817732.82298756 
 03/22  09:00:00,261690446.28812996,261690446.28813 
 03/22  10:00:00,260766403.04771203,260766403.04771206 
 03/22  11:00:00,267742961.07810053,267742961.0781006 
 03/22  12:00:00,270400658.8148401,270400658.8148401 
 03/22  13:00:00,276593024.9876485,276593024.98764855 
 03/22  14:00:00,274195161.11385244,274195161.1138525 
 03/22  15:00:00,276153204.93154544,276153204.93154544 
 03/22  16:00:00,280730608.1018929,280730608.1018929 
 03/22  17:00:00,194125108.84614462,194125108.84614462 
 03/22  18:00:00,130156360.12493303,130156360.12493303 
 03/22  19:00:00,139727773.16675037,139727773.16675037 
 03/22  20:00:00,125924226.27308446,125924226.27308446 
 03/22  21:00:00,124532878.65512028,124532878.65512028 
 03/22  22:00:00,85134722.37354441,85134722.37354442 
 03/22  23:00:00,80131530.28038286,80131530.28038286 
 03/22  24:00:00,65597949.44438682,65597949.44438682 
 03/23  01:00:00,65407915.1537362,65407915.1537362 
 03/23  02:00:00,65407915.1537362,65407915.1537362 
 03/23  03:00:00,65407915.1537362,65407915.1537362 
 03/23  04:00:00,65407915.1537362,65407915.1537362 
 03/23  05:00:00,65407915.1537362,65407915.1537362 
 03/23  06:00:00,106740543.47051418,106740543.47051418 
 03/23  07:00:00,169371212.90568912,169371212.90568915 
 03/23  08:00:00,263819770.84404394,263819770.84404403 
 03/23  09:00:00,250264181.06973726,250264181.0697373 
 03/23  10:00:00,253843945.51590985,253843945.51590985 
 03/23  11:00:00,267956080.5428238,267956080.5428238 
 03/23  12:00:00,265187382.02817953,265187382.02817956 
 03/23  13:00:00,285056053.6136192,285056053.61361915 
 03/23  14:00:00,281875413.16885346,281875413.16885346 
 03/23  15:00:00,285743359.28884465,285743359.28884465 
 03/23  16:00:00,291273164.1682993,291273164.1682993 
 03/23  17:00:00,189725343.23661047,189725343.23661047 
 03/23  18:00:00,122924105.11660552,122924105.11660554 
 03/23  19:00:00,134332490.74936885,134332490.74936885 
 03/23  20:00:00,122505782.72149682,122505782.72149682 
 03/23  21:00:00,120840005.162174,120840005.16217399 
 03/23  22:00:00,85134722.37354441,85134722.37354442 
 03/23  23:00:00,80131530.28038286,80131530.28038286 
 03/23  24:00:00,65597949.44438682,65597949.44438682 
 03/24  01:00:00,65407915.1537362,65407915.1537362 
 03/24  02:00:00,65407915.1537362,65407915.1537362 
 03/24  03:00:00,65407915.1537362,65407915.1537362 
 03/24  04:00:00,65407915.1537362,65407915.1537362 
 03/24  05:00:00,65407915.1537362,65407915.1537362 
 03/24  06:00:00,97238905.85100102,97238905.85100102 
 03/24  07:00:00,167849735.07339388,167849735.07339385 
 03/24  08:00:00,257437343.4476163,257437343.44761643 
 03/24  09:00:00,246694405.0038001,246694405.00380012 
 03/24  10:00:00,256383109.07169548,256383109.07169548 
 03/24  11:00:00,270854649.6514771,270854649.6514771 
 03/24  12:00:00,268271550.07010219,268271550.07010213 
 03/24  13:00:00,283530732.41575575,283530732.4157558 
 03/24  14:00:00,280387761.4332235,280387761.4332235 
 03/24  15:00:00,284875959.0638599,284875959.0638599 
 03/24  16:00:00,291529699.9943385,291529699.9943385 
 03/24  17:00:00,194872145.44107005,194872145.44107002 
 03/24  18:00:00,129425301.5168094,129425301.5168094 
 03/24  19:00:00,139573600.95302853,139573600.95302853 
 03/24  20:00:00,123312137.36296523,123312137.36296523 
 03/24  21:00:00,120262131.81664905,120262131.81664906 
 03/24  22:00:00,85134722.37354441,85134722.37354442 
 03/24  23:00:00,80131530.28038286,80131530.28038286 
 03/24  24:00:00,54347289.79607374,54347289.79607374 
 03/25  01:00:00,54157290.74955592,54157290.74955592 
 03/25  02:00:00,54157290.74955592,54157290.74955592 
 03/25  03:00:00,54157290.74955592,54157290.74955592 
 03/25  04:00:00,54157290.74955592,54157290.74955592 
 03/25  05:00:00,54157290.74955592,54157290.74955592 
 03/25  06:00:00,97117895.25337346,97117895.25337347 
 03/25  07:00:00,104652993.68756256,104652993.68756256 
 03/25  08:00:00,117057231.0715147,117057231.0715147 
 03/25  09:00:00,126107872.54573339,126107872.5457334 
 03/25  10:00:00,131727977.57766455,131727977.57766458 
 03/25  11:00:00,145177307.49931014,145177307.49931014 
 03/25  12:00:00,112540438.29693854,112540438.29693854 
 03/25  13:00:00,108080118.77442557,108080118.77442557 
 03/25  14:00:00,108763964.87717018,108763964.87717018 
 03/25  15:00:00,107556167.01538406,107556167.01538405 
 03/25  16:00:00,105438054.22988269,105438054.22988269 
 03/25  17:00:00,87062323.35128476,87062323.35128477 
 03/25  18:00:00,53813136.24326659,53813136.24326659 
 03/25  19:00:00,57110793.79607374,57110793.79607375 
 03/25  20:00:00,56920794.74955592,56920794.74955593 
 03/25  21:00:00,56920794.74955592,56920794.74955593 
 03/25  22:00:00,56920794.74955592,56920794.74955593 
 03/25  23:00:00,56920794.74955592,56920794.74955593 
 03/25  24:00:00,54157290.74955592,54157290.74955592 
 03/26  01:00:00,54157290.74955592,54157290.74955592 
 03/26  02:00:00,54157290.74955592,54157290.74955592 
 03/26  03:00:00,54157290.74955592,54157290.74955592 
 03/26  04:00:00,54157290.74955592,54157290.74955592 
 03/26  05:00:00,54157290.74955592,54157290.74955592 
 03/26  06:00:00,71035901.50655627,71035901.50655627 
 03/26  07:00:00,53731816.63382196,53731816.63382196 
 03/26  08:00:00,53100572.1545344,53100572.1545344 
 03/26  09:00:00,53100571.45300382,53100571.45300382 
 03/26  10:00:00,53100571.45300382,53100571.45300382 
 03/26  11:00:00,53100571.45300382,53100571.45300382 
 03/26  12:00:00,64695780.7276897,64695780.72768971 
 03/26  13:00:00,78651606.77895424,78651606.77895424 
 03/26  14:00:00,88763916.16390201,88763916.16390201 
 03/26  15:00:00,80688395.5205053,80688395.5205053 
 03/26  16:00:00,65754763.59227908,65754763.592279084 
 03/26  17:00:00,53104718.26796289,53104718.26796289 
 03/26  18:00:00,44915178.49858207,44915178.49858207 
 03/26  19:00:00,56920794.74955592,56920794.74955593 
 03/26  20:00:00,56920794.74955592,56920794.74955593 
 03/26  21:00:00,56920794.74955592,56920794.74955593 
 03/26  22:00:00,56920794.74955592,56920794.74955593 
 03/26  23:00:00,56920794.74955592,56920794.74955593 
 03/26  24:00:00,65407915.1537362,65407915.1537362 
 03/27  01:00:00,65407915.1537362,65407915.1537362 
 03/27  02:00:00,65407915.1537362,65407915.1537362 
 03/27  03:00:00,65407915.1537362,65407915.1537362 
 03/27  04:00:00,65407915.1537362,65407915.1537362 
 03/27  05:00:00,65407915.1537362,65407915.1537362 
 03/27  06:00:00,96726084.13233711,96726084.13233711 
 03/27  07:00:00,163350517.69175792,163350517.69175792 
 03/27  08:00:00,257446608.90222073,257446608.9022208 
 03/27  09:00:00,250315375.68888795,250315375.68888795 
 03/27  10:00:00,260606427.73934948,260606427.73934945 
 03/27  11:00:00,278868786.37850857,278868786.3785086 
 03/27  12:00:00,275855859.98950195,275855859.98950195 
 03/27  13:00:00,291717896.72177804,291717896.72177804 
 03/27  14:00:00,288580899.8240311,288580899.8240311 
 03/27  15:00:00,290829981.4636139,290829981.4636139 
 03/27  16:00:00,295633715.0052717,295633715.0052717 
 03/27  17:00:00,197716896.88891444,197716896.88891444 
 03/27  18:00:00,131048539.68462588,131048539.68462586 
 03/27  19:00:00,142005666.77077234,142005666.77077234 
 03/27  20:00:00,128581016.96350999,128581016.96351 
 03/27  21:00:00,125397308.46926482,125397308.4692648 
 03/27  22:00:00,85134722.37354441,85134722.37354442 
 03/27  23:00:00,80131530.28038286,80131530.28038286 
 03/27  24:00:00,65597949.44438682,65597949.44438682 
 03/28  01:00:00,65407915.1537362,65407915.1537362 
 03/28  02:00:00,65407915.1537362,65407915.1537362 
 03/28  03:00:00,65407915.1537362,65407915.1537362 
 03/28  04:00:00,65407915.1537362,65407915.1537362 
 03/28  05:00:00,65407915.1537362,65407915.1537362 
 03/28  06:00:00,109058546.12587398,109058546.12587395 
 03/28  07:00:00,170594912.68084082,170594912.68084082 
 03/28  08:00:00,270249550.55424386,270249550.5542439 
 03/28  09:00:00,257849757.93260878,257849757.93260878 
 03/28  10:00:00,257322917.4954046,257322917.4954046 
 03/28  11:00:00,264422429.87113607,264422429.8711361 
 03/28  12:00:00,280875698.31334454,280875698.3133446 
 03/28  13:00:00,274283082.8719176,274283082.87191766 
 03/28  14:00:00,267610234.1217411,267610234.12174112 
 03/28  15:00:00,267665353.33028305,267665353.33028314 
 03/28  16:00:00,278603264.6385323,278603264.63853234 
 03/28  17:00:00,201872336.93917316,201872336.93917316 
 03/28  18:00:00,131707937.95191349,131707937.9519135 
 03/28  19:00:00,140370999.35294408,140370999.3529441 
 03/28  20:00:00,127112233.43453524,127112233.43453524 
 03/28  21:00:00,122938575.11757174,122938575.11757176 
 03/28  22:00:00,85134722.37354441,85134722.37354442 
 03/28  23:00:00,80131530.28038286,80131530.28038286 
 03/28  24:00:00,65597949.44438682,65597949.44438682 
 03/29  01:00:00,65407915.1537362,65407915.1537362 
 03/29  02:00:00,65407915.1537362,65407915.1537362 
 03/29  03:00:00,65407915.1537362,65407915.1537362 
 03/29  04:00:00,65407915.1537362,65407915.1537362 
 03/29  05:00:00,65407915.1537362,65407915.1537362 
 03/29  06:00:00,102815641.71558313,102815641.71558313 
 03/29  07:00:00,183773319.5442588,183773319.54425886 
 03/29  08:00:00,260466630.245179,260466630.24517906 
 03/29  09:00:00,243860181.384403,243860181.38440305 
 03/29  10:00:00,251982409.89761835,251982409.89761838 
 03/29  11:00:00,265450477.01079795,265450477.010798 
 03/29  12:00:00,261197488.84285927,261197488.84285927 
 03/29  13:00:00,275918071.2811065,275918071.2811064 
 03/29  14:00:00,274584118.95651317,274584118.95651317 
 03/29  15:00:00,277822287.13448983,277822287.13448983 
 03/29  16:00:00,282890335.97349703,282890335.9734971 
 03/29  17:00:00,190210470.7887104,190210470.7887104 
 03/29  18:00:00,125853679.96530488,125853679.96530485 
 03/29  19:00:00,135318555.94361192,135318555.94361192 
 03/29  20:00:00,122264415.1579941,122264415.1579941 
 03/29  21:00:00,118812034.44875035,118812034.44875033 
 03/29  22:00:00,85134722.37354441,85134722.37354442 
 03/29  23:00:00,80131530.28038286,80131530.28038286 
 03/29  24:00:00,65597949.44438682,65597949.44438682 
 03/30  01:00:00,65407915.1537362,65407915.1537362 
 03/30  02:00:00,65407915.1537362,65407915.1537362 
 03/30  03:00:00,65407915.1537362,65407915.1537362 
 03/30  04:00:00,65407915.1537362,65407915.1537362 
 03/30  05:00:00,65407915.1537362,65407915.1537362 
 03/30  06:00:00,95168333.11673209,95168333.11673209 
 03/30  07:00:00,170791761.67483276,170791761.6748328 
 03/30  08:00:00,257472200.69067803,257472200.69067812 
 03/30  09:00:00,247633574.97916055,247633574.97916055 
 03/30  10:00:00,258002329.0584825,258002329.05848247 
 03/30  11:00:00,275531099.0279099,275531099.0279099 
 03/30  12:00:00,274059642.6266379,274059642.6266378 
 03/30  13:00:00,292825924.61815506,292825924.61815506 
 03/30  14:00:00,291881499.8028903,291881499.8028903 
 03/30  15:00:00,296957952.54797983,296957952.54797983 
 03/30  16:00:00,303683527.51111645,303683527.51111645 
 03/30  17:00:00,200880875.82870948,200880875.8287095 
 03/30  18:00:00,131837506.59685794,131837506.59685794 
 03/30  19:00:00,140181946.37724242,140181946.37724245 
 03/30  20:00:00,124984065.63639975,124984065.63639975 
 03/30  21:00:00,120964318.9148252,120964318.91482517 
 03/30  22:00:00,85134722.37354441,85134722.37354442 
 03/30  23:00:00,80131530.28038286,80131530.28038286 
 03/30  24:00:00,65597949.44438682,65597949.44438682 
 03/31  01:00:00,65407915.1537362,65407915.1537362 
 03/31  02:00:00,65407915.1537362,65407915.1537362 
 03/31  03:00:00,65407915.1537362,65407915.1537362 
 03/31  04:00:00,65407915.1537362,65407915.1537362 
 03/31  05:00:00,65407915.1537362,65407915.1537362 
 03/31  06:00:00,93082888.95005623,93082888.95005623 
 03/31  07:00:00,162269412.49002656,162269412.4900266 
 03/31  08:00:00,258090569.48309967,258090569.48309967 
 03/31  09:00:00,252676802.73584595,252676802.73584595 
 03/31  10:00:00,264012681.67212972,264012681.67212972 
 03/31  11:00:00,281723216.47769433,281723216.4776944 
 03/31  12:00:00,277932361.8649122,277932361.8649123 
 03/31  13:00:00,300028363.3784087,300028363.37840873 
 03/31  14:00:00,300984037.64853805,300984037.64853805 
 03/31  15:00:00,309273869.40104306,309273869.40104306 
 03/31  16:00:00,318553254.9979222,318553254.9979222 
 03/31  17:00:00,210305540.00821823,210305540.00821823 
 03/31  18:00:00,136924669.89400446,136924669.89400446 
 03/31  19:00:00,143746157.6595909,143746157.65959087 
 03/31  20:00:00,130826186.5141074,130826186.5141074 
 03/31  21:00:00,129565180.18517822,129565180.1851782 
 03/31  22:00:00,85134722.37354441,85134722.37354442 
 03/31  23:00:00,80131530.28038286,80131530.28038286 
 03/31  24:00:00,54347289.79607374,54347289.79607374 
 04/01  01:00:00,54157290.74955592,54157290.74955592 
 04/01  02:00:00,54157290.74955592,54157290.74955592 
 04/01  03:00:00,54157290.74955592,54157290.74955592 
 04/01  04:00:00,54157290.74955592,54157290.74955592 
 04/01  05:00:00,54157290.74955592,54157290.74955592 
 04/01  06:00:00,112407321.82762806,112407321.82762806 
 04/01  07:00:00,98660414.17833056,98660414.17833056 
 04/01  08:00:00,132269483.60794282,132269483.60794282 
 04/01  09:00:00,147445064.1995809,147445064.1995809 
 04/01  10:00:00,157460627.2746853,157460627.2746853 
 04/01  11:00:00,173370063.58885416,173370063.58885416 
 04/01  12:00:00,139756002.68975323,139756002.6897532 
 04/01  13:00:00,140187935.41662097,140187935.41662097 
 04/01  14:00:00,144853898.68929473,144853898.68929473 
 04/01  15:00:00,152407320.42084774,152407320.42084777 
 04/01  16:00:00,153676542.5073252,153676542.5073252 
 04/01  17:00:00,110747200.82052308,110747200.82052307 
 04/01  18:00:00,73407140.03406186,73407140.03406186 
 04/01  19:00:00,76009256.2007592,76009256.2007592 
 04/01  20:00:00,56920794.74955592,56920794.74955593 
 04/01  21:00:00,56920794.74955592,56920794.74955593 
 04/01  22:00:00,56920794.74955592,56920794.74955593 
 04/01  23:00:00,56920794.74955592,56920794.74955593 
 04/01  24:00:00,54157290.74955592,54157290.74955592 
 04/02  01:00:00,54157290.74955592,54157290.74955592 
 04/02  02:00:00,54157290.74955592,54157290.74955592 
 04/02  03:00:00,54157290.74955592,54157290.74955592 
 04/02  04:00:00,54157290.74955592,54157290.74955592 
 04/02  05:00:00,54157290.74955592,54157290.74955592 
 04/02  06:00:00,67624187.50655627,67624187.50655627 
 04/02  07:00:00,54123677.87733546,54123677.87733546 
 04/02  08:00:00,53603047.17267288,53603047.17267288 
 04/02  09:00:00,53102745.40203831,53102745.40203831 
 04/02  10:00:00,53100571.45300382,53100571.45300382 
 04/02  11:00:00,53100571.45300382,53100571.45300382 
 04/02  12:00:00,53100571.45300382,53100571.45300382 
 04/02  13:00:00,68237548.74203573,68237548.74203573 
 04/02  14:00:00,72199561.20413466,72199561.20413467 
 04/02  15:00:00,87706181.08797416,87706181.08797419 
 04/02  16:00:00,93768906.71602845,93768906.71602844 
 04/02  17:00:00,91863535.8248817,91863535.8248817 
 04/02  18:00:00,93104295.94086623,93104295.94086623 
 04/02  19:00:00,95308537.5647942,95308537.56479421 
 04/02  20:00:00,90522502.72253631,90522502.72253631 
 04/02  21:00:00,59298545.83809277,59298545.838092774 
 04/02  22:00:00,56920794.74955592,56920794.74955593 
 04/02  23:00:00,56920794.74955592,56920794.74955593 
 04/02  24:00:00,65407915.1537362,65407915.1537362 
 04/03  01:00:00,65407915.1537362,65407915.1537362 
 04/03  02:00:00,65407915.1537362,65407915.1537362 
 04/03  03:00:00,65407915.1537362,65407915.1537362 
 04/03  04:00:00,65407915.1537362,65407915.1537362 
 04/03  05:00:00,65407915.1537362,65407915.1537362 
 04/03  06:00:00,113429968.30700123,113429968.30700123 
 04/03  07:00:00,167175912.39156926,167175912.39156926 
 04/03  08:00:00,285254731.04861224,285254731.0486123 
 04/03  09:00:00,264882233.32442552,264882233.32442552 
 04/03  10:00:00,270005981.0714396,270005981.0714396 
 04/03  11:00:00,290352411.63716453,290352411.6371646 
 04/03  12:00:00,287859323.80797535,287859323.80797535 
 04/03  13:00:00,312934093.5015199,312934093.5015199 
 04/03  14:00:00,318088897.3463994,318088897.3463994 
 04/03  15:00:00,329314510.8881682,329314510.8881682 
 04/03  16:00:00,345777113.82489663,345777113.8248966 
